,0
ciebijma-1,1
ciecpjin-1,9
cieecbcb-1,1
ciefahbj-1,1
ciefhhhn-1,1
ciefpfck-1,1
ciegiihj-1,6
ciehhmbc-1,11
ciehndjb-1,4
ciehomcp-1,1
cieknffj-1,19
ciembegh-1,1
cieockbc-1,14
cieofiho-1,20
ciepeeij-1,11
cifecbjo-1,8
cifglofa-1,7
cifhfmef-1,21
cifhkelo-1,10
cifindlh-1,9
cifkjdoj-1,20
cifkmmhj-1,1
ciflbhfh-1,11
cifljnll-1,11
cifmbhdb-1,11
cifnlgnp-1,11
cifpiicj-1,19
cigalmdm-1,18
cigcebkd-1,3
cigdkbbi-1,20
cigelhhi-1,13
cigjmijo-1,11
ciglfibg-1,4
ciglikoe-1,1
ciglnidc-1,1
cigmeick-1,0
cigpeieo-1,19
cihajfpo-1,4
cihdbdoc-1,14
cihebebd-1,13
cihefcmn-1,1
cihhjchf-1,4
cihiaebh-1,19
cihiijcg-1,18
cihmejlb-1,5
ciiclkei-1,8
ciigfakg-1,8
ciiheelh-1,0
ciiihhhh-1,1
ciijcdlc-1,19
ciimeemg-1,21
ciiogokl-1,13
cijdnehc-1,3
cijfdpoc-1,11
cijgblem-1,13
cijhmphn-1,21
cijiibpe-1,2
cijkpefl-1,18
cijkpnpk-1,18
cijlfibm-1,2
cijmkbdj-1,19
cijohgol-1,19
cijoioji-1,19
cikacehh-1,1
cikdcifh-1,2
cikdcolp-1,2
cikfbndl-1,2
cikfhbli-1,2
cikggecn-1,2
cikhccoo-1,2
cikhnjle-1,19
cikjhdol-1,16
cikkpoah-1,4
ciklicol-1,4
cikmeaio-1,2
cikonjdm-1,11
cikopfnh-1,20
ciledkcm-1,7
cilekoha-1,21
ciljmlin-1,5
cillmobp-1,10
cimegpjj-1,10
cimhikfm-1,2
cimilgog-1,2
cimlboej-1,11
cimldhep-1,11
cimnaghn-1,19
cimpjcdm-1,9
cinbgadm-1,10
cinbpack-1,11
cinekcfj-1,11
cinepcho-1,11
cinfddlm-1,11
cinhndjc-1,10
cinibeic-1,3
cinlmckp-1,14
cinpdimn-1,1
cinpfpig-1,1
ciobhakk-1,18
ciocmdnj-1,14
cioiekno-1,1
cioilcjl-1,11
ciojppcb-1,20
cionpaee-1,22
cioooggf-1,11
ciopdmpe-1,1
cipaaajm-1,4
cipckhch-1,19
cipeofjh-1,2
cipgmfnk-1,2
cipjhoco-1,11
cipnbkcc-1,4
cipnfedn-1,1
cippjnbp-1,1
cippoggm-1,1
cjaaampp-1,1
cjaciobb-1,1
cjadloeh-1,1
cjaeiplo-1,20
cjafhpmh-1,1
cjagbjmb-1,11
cjahdole-1,1
cjajelhn-1,11
cjaokfnm-1,7
cjappipl-1,2
cjbcoekc-1,4
cjbegbmm-1,3
cjbhhdlo-1,11
cjbkkhgg-1,20
cjbmmopo-1,21
cjbnbfmi-1,16
cjbnbijc-1,8
cjbobngf-1,20
cjbolhil-1,4
cjbopdik-1,1
cjbpnkgn-1,4
cjcampkb-1,4
cjcblbml-1,16
cjccepha-1,3
cjccjekc-1,11
cjcehobh-1,11
cjcfgile-1,11
cjcgaojo-1,1
cjcggnmb-1,3
cjchjmik-1,3
cjcmnbcm-1,13
cjcmoflj-1,1
cjcndino-1,13
cjconlpa-1,10
cjcopink-1,13
cjcpicmf-1,4
cjdaejfc-1,4
cjdcalcf-1,4
cjdcejha-1,11
cjdibkag-1,18
cjdigepl-1,4
cjdjjkfl-1,18
cjdmabpc-1,9
cjdmeoem-1,4
cjdnmejo-1,19
cjdobmnp-1,4
cjdogmfo-1,14
cjdpbnld-1,11
cjdpgfkg-1,4
cjebcgel-1,7
cjebfecm-1,7
cjebinml-1,13
cjeecjkl-1,4
cjegoajc-1,4
cjehldaj-1,4
cjehmelf-1,18
cjehmoee-1,4
cjeifmkd-1,19
cjejkmoc-1,13
cjejkogc-1,4
cjeofcph-1,4
cjepalnc-1,4
cjepbfek-1,19
cjepoemb-1,1
cjfabkfc-1,0
cjfdblae-1,2
cjfdfopd-1,19
cjfdjljp-1,11
cjffpfac-1,2
cjfhjmgg-1,19
cjfihdmj-1,4
cjfkndbp-1,19
cjflhmfh-1,20
cjflopcp-1,4
cjfncbhl-1,16
cjgaeblb-1,19
cjgcobbp-1,1
cjgcphbo-1,11
cjgfgmem-1,9
cjgfheof-1,2
cjgfkefe-1,2
cjghidpc-1,11
cjgiggia-1,4
cjgjmkej-1,4
cjgkbbgm-1,7
cjgkcagm-1,1
cjgmciji-1,1
cjgncehb-1,1
cjgneekg-1,11
cjgnjklj-1,1
cjgpbdad-1,1
cjhajaad-1,11
cjhddige-1,1
cjhfadal-1,13
cjhgdlbl-1,4
cjhglanj-1,11
cjhijdbf-1,20
cjhioofj-1,17
cjhochld-1,3
cjhoofhh-1,3
cjhpdcld-1,1
cjiaklbe-1,11
cjibanjh-1,11
cjicafnf-1,11
cjidokem-1,11
cjieakjk-1,4
cjiebana-1,11
cjiejjcg-1,11
cjijlgbk-1,22
cjikjfjn-1,11
cjilaclo-1,4
cjilbihc-1,0
cjilgpgi-1,11
cjimleij-1,0
cjimnpig-1,21
cjimpffo-1,11
cjiokjcm-1,19
cjionckf-1,9
cjipjchd-1,18
cjjajppd-1,13
cjjboojc-1,18
cjjdmkde-1,13
cjjeicig-1,19
cjjgcoan-1,19
cjjgjdal-1,4
cjjgmekp-1,18
cjjhohco-1,0
cjjipabe-1,17
cjjjipck-1,19
cjjmjpnj-1,4
cjjphcfi-1,19
cjkdggio-1,13
cjkecchi-1,4
cjkffmip-1,1
cjkgcjfn-1,11
cjkgnfgi-1,3
cjkhdkik-1,17
cjkhflmi-1,9
cjkjpfjm-1,4
cjkkkcbe-1,19
cjkloehd-1,19
cjkmheig-1,17
cjknedfd-1,17
cjlafifg-1,4
cjlanfnn-1,19
cjlbomco-1,19
cjlcgbee-1,0
cjldmaca-1,4
cjleflef-1,21
cjlepemo-1,11
cjlhfbok-1,18
cjlikibn-1,20
cjlkibif-1,19
cjlnlkoc-1,4
cjlodocl-1,8
cjlomlch-1,4
cjlpcnlo-1,19
cjlpmhod-1,13
cjmaeobn-1,4
cjmbgddh-1,4
cjmellnj-1,20
cjmfmdjn-1,4
cjmmdila-1,21
cjmpglig-1,19
cjnalojn-1,0
cjnbkhlj-1,19
cjnghnkp-1,22
cjnjbiaj-1,18
cjnjobdl-1,2
cjnkhiik-1,7
cjnlgmfn-1,4
cjnmlbil-1,4
cjnoebin-1,8
cjnokhkj-1,19
cjnomnjc-1,8
cjnpmbpb-1,2
cjoblaeb-1,7
cjocaiig-1,2
cjoemkkp-1,4
cjofapco-1,4
cjohmdmk-1,1
cjoiifcc-1,4
cjoiihak-1,5
cjoikklf-1,4
cjokadjc-1,2
cjokccnm-1,0
cjpdbfkk-1,13
cjpdjobg-1,19
cjpdmplf-1,2
cjpejomk-1,19
cjpffodn-1,1
cjpkgmmf-1,4
cjpleiff-1,20
cjplhpin-1,8
cjpofnjn-1,20
cjppdkle-1,1
ckabidij-1,11
ckadgfkj-1,4
ckagagnd-1,18
ckahigdg-1,19
ckahonli-1,9
ckaiokki-1,19
ckakmikb-1,1
ckakpjno-1,11
ckaldekb-1,11
ckalongb-1,11
ckaofkoe-1,18
ckapimkf-1,7
ckbagoho-1,3
ckbfciii-1,3
ckbfhbif-1,1
ckbgcnpp-1,3
ckbgjcnj-1,11
ckbhcogm-1,3
ckbjeoij-1,11
ckbljlol-1,19
ckbmblhp-1,13
ckbmdaib-1,18
ckbmfhgl-1,11
ckbmhhhn-1,11
ckcajobi-1,0
ckcaoljh-1,11
ckcgdome-1,1
ckchcdjo-1,22
ckchknel-1,11
ckckofbf-1,3
ckdapdoa-1,3
ckdbbakn-1,20
ckdbobih-1,2
ckddbgbi-1,20
ckdgmfhj-1,10
ckdgnjgf-1,9
ckdjeeob-1,11
ckdjiabb-1,11
ckdmofnc-1,11
ckdollii-1,18
ckebcpcn-1,2
ckebebjn-1,2
ckedclpn-1,14
ckeibfhp-1,21
ckeiflcd-1,4
ckeilgjj-1,2
ckeimfbk-1,18
ckejeinc-1,2
ckejlbig-1,4
ckenhmdi-1,4
ckenklao-1,2
ckfbhmgk-1,11
ckfcapbg-1,18
ckfclpid-1,0
ckfcnfao-1,4
ckfhfnpp-1,13
ckfhlnda-1,1
ckfhnfan-1,18
ckfklhdk-1,11
ckfliken-1,11
ckfmjkno-1,9
ckfneeji-1,0
ckgaldfp-1,4
ckgcinjp-1,18
ckgcioac-1,12
ckgcpage-1,2
ckgenaii-1,4
ckggpgfh-1,0
ckgiiklc-1,0
ckgjcooe-1,19
ckgjiobj-1,11
ckgknfam-1,1
ckglhpkf-1,19
ckglkhfg-1,11
ckgnkcac-1,19
ckgonlcg-1,11
ckgpbheg-1,11
ckhajjbb-1,20
ckhapghd-1,19
ckhdfbkh-1,11
ckhghfeh-1,19
ckhhdlfi-1,12
ckhhjfhf-1,19
ckhijckf-1,10
ckhipoig-1,20
ckhkpcio-1,18
ckhponhm-1,11
ckiaggof-1,19
ckicggki-1,19
ckielmgk-1,9
ckifmfmo-1,19
ckigdaoc-1,20
ckigdodl-1,18
ckihookg-1,13
ckiimlho-1,11
ckijodlo-1,11
ckikahlo-1,0
ckiknodf-1,0
ckildbdc-1,4
ckiofjae-1,19
ckipmmpp-1,1
ckjapenj-1,11
ckjbionl-1,1
ckjbllgf-1,1
ckjcebom-1,1
ckjkdkcl-1,1
ckjomndn-1,1
ckjpbpbc-1,1
ckkaahnk-1,2
ckkcgpnn-1,1
ckkdbjfk-1,7
ckkdjilj-1,11
ckkgaklf-1,4
ckkhfmap-1,4
ckkihjmg-1,11
ckkjnbcn-1,19
ckkknpaf-1,19
ckkljhcd-1,13
ckkpnnho-1,19
cklafpkj-1,14
cklaofmc-1,0
cklbacik-1,0
cklbimed-1,4
cklbjhke-1,1
cklcbone-1,20
cklcginf-1,13
ckldimkl-1,2
cklgaadp-1,11
cklhaabc-1,13
cklhpjdn-1,13
cklicccf-1,11
ckljmjka-1,19
cklmneli-1,16
cklnjeal-1,21
ckmcekmh-1,13
ckmdgdhn-1,14
ckmenobc-1,1
ckmgcdij-1,1
ckmggbmk-1,1
ckmhgjhf-1,11
ckmimeog-1,1
ckmioaoh-1,18
ckmkdjnk-1,11
ckmmehlc-1,14
ckmmicgd-1,11
cknbaahe-1,11
cknccopn-1,18
cknejflm-1,13
cknhllmg-1,4
ckniadpf-1,1
cknkeeoi-1,1
cknkpnhk-1,1
cknlmdng-1,1
cknmjiob-1,2
cknnbebi-1,1
cknnpbii-1,3
cknoieje-1,1
cknopdpn-1,7
ckoabpcm-1,8
ckogpoig-1,3
ckoicilh-1,1
ckomkfdp-1,7
ckomlilh-1,11
ckonhnpo-1,11
ckpbhbpo-1,16
ckpcjkbb-1,17
ckpcnfji-1,1
ckpehnel-1,1
ckpeloid-1,11
ckpfbpce-1,20
ckpgdehp-1,1
ckpnaibi-1,14
ckpnpbbh-1,1
ckpokphb-1,7
ckppcojm-1,4
ckppekbj-1,20
ckpphecn-1,3
clachjif-1,4
claddgen-1,20
claeeiei-1,11
clahadnk-1,3
claichhn-1,3
claikllb-1,15
claopako-1,11
clbbknek-1,11
clbbpmhd-1,11
clbdecpo-1,3
clbffjoa-1,11
clbgchkp-1,1
clbgnbkj-1,3
clbicbif-1,3
clbljfig-1,18
clbmdboo-1,1
clbmhhlp-1,20
clbmkojp-1,4
clbnbcpm-1,3
clbnmkpm-1,3
clbpolif-1,4
clcadfmh-1,4
clcbibcg-1,2
clcckonn-1,3
clcdbgng-1,3
clcenppa-1,11
clceoooh-1,3
clcfddea-1,11
clcfnomh-1,11
clchfpmn-1,4
clchjmjk-1,4
clcjfkaa-1,7
clcjhmbf-1,11
clckonld-1,8
clcnghoa-1,8
clcoaggg-1,7
clcpippe-1,3
clcpkkeb-1,3
cldagaeo-1,11
cldbhjej-1,10
cldbldbd-1,2
cldebpkf-1,18
cldegmim-1,10
cldehheo-1,0
cldidfnl-1,3
cldieben-1,19
cldigppg-1,4
cldikbjh-1,1
cldjejka-1,15
cldjjccb-1,20
cldkjfgd-1,11
cldlccjp-1,11
cldlfdei-1,7
cldliefc-1,20
cldlondk-1,1
cldpdpeo-1,1
clebopol-1,11
cledcpjb-1,10
clefhoak-1,20
clegkkad-1,11
cleieejk-1,22
clejnjfa-1,11
clekhiof-1,1
clellpbd-1,20
clenbmjo-1,18
cleoecbn-1,3
clfabikg-1,11
clfamgob-1,21
clfaoool-1,3
clfdgkch-1,19
clfdhfbl-1,19
clffbcgk-1,9
clfgaapb-1,8
clfhepdo-1,1
clfkgflh-1,18
clfknolf-1,4
clfknpmk-1,11
clflbekg-1,11
clgabeoj-1,9
clgcjkdh-1,8
clgdnoji-1,11
clgdpbep-1,3
clgljnlf-1,11
clgmmkmc-1,20
clgnclpn-1,20
clgncmjm-1,11
clgpnglm-1,7
clhchgok-1,3
clhdfohc-1,9
clhdldgf-1,3
clhejihl-1,11
clhfkioe-1,1
clhgkkef-1,2
clhjedbp-1,2
clhlbiba-1,2
clhlciom-1,11
clhlkehp-1,11
clhmailf-1,11
clhmngnp-1,19
clhnfncl-1,13
clhngkkd-1,2
clhplode-1,11
clicomod-1,2
clidhlok-1,4
clifkkob-1,4
cligdlbn-1,2
cligplem-1,20
clihlpli-1,19
clikbipa-1,11
clilbnma-1,4
clilfepj-1,11
climijej-1,13
cliofjpo-1,11
clipcnlg-1,2
clipnfkg-1,20
cljblkko-1,1
cljcgmkj-1,20
cljcpadd-1,11
cljfnmhi-1,4
cljjkkgk-1,11
cljkbhdh-1,2
cljknlop-1,11
cljndcak-1,3
cljnldci-1,3
clkakifm-1,4
clkchidc-1,3
clkfcpbo-1,14
clkfiajk-1,9
clkgdgnb-1,10
clkhhgee-1,8
clkjghcp-1,4
clkkjpph-1,11
clklddef-1,7
clkmfejk-1,3
clkpdhpp-1,3
cllaopdn-1,20
cllbfidg-1,7
cllcbolo-1,3
cllcofcm-1,10
cllddgcc-1,1
clldfcna-1,3
clldfnlb-1,11
cllidlai-1,16
cllkgjib-1,7
cllkpjhk-1,7
cllophjl-1,4
clmbbkmd-1,7
clmekhcp-1,1
clmhiacm-1,1
clmhlcdl-1,7
clmipjdk-1,21
clmjfohp-1,3
clmjjjhk-1,3
clmlidmh-1,18
clmlnecb-1,1
clmnhmno-1,20
clnbmemg-1,11
clnbnjoc-1,11
clncnigf-1,11
clndehfg-1,3
clnehhkm-1,1
clnhajpb-1,7
clnhmnlb-1,20
clnjieoa-1,4
clnmnhah-1,3
clnojbfb-1,9
clodejod-1,11
cloeehom-1,1
cloepbah-1,11
clofmbkc-1,19
clohblcc-1,4
cloiabhd-1,4
cloiciib-1,4
cloigdal-1,19
cloipilp-1,2
clokeopk-1,11
clomhmja-1,2
clopoeeh-1,19
clpaolpc-1,5
clpcchef-1,18
clpfdejk-1,2
clpgkkop-1,4
clphkiic-1,5
clpielmj-1,1
clpjacij-1,11
clpjdegk-1,18
clpjmhlj-1,11
clpjocoh-1,11
clplanhd-1,4
clpmeggh-1,14
clpnbggf-1,18
clpppnnc-1,11
cmacfcfn-1,11
cmacobja-1,12
cmahgdli-1,11
cmahmpim-1,11
cmakoeph-1,11
cmanjdej-1,11
cmbcaoji-1,13
cmbclank-1,21
cmbgcnkn-1,14
cmbiccpd-1,4
cmbkpnno-1,11
cmblbeai-1,13
cmbmmcfg-1,11
cmbnkjpa-1,11
cmbpigng-1,20
cmbpondo-1,11
cmcbgghj-1,14
cmcbhghe-1,14
cmcbmgop-1,11
cmcdohkf-1,21
cmcejajd-1,19
cmcgpflh-1,1
cmckjoko-1,14
cmckodhp-1,1
cmcmjpep-1,19
cmcnabik-1,19
cmcomokj-1,0
cmcpjckm-1,19
cmdaiagk-1,18
cmdcaimc-1,18
cmdghilo-1,0
cmdgoeph-1,19
cmdhbcna-1,18
cmdhkdnp-1,19
cmdkickg-1,5
cmdmenie-1,20
cmeaikko-1,18
cmebnije-1,5
cmebokhp-1,20
cmecapoh-1,18
cmecokng-1,5
cmecpnnl-1,18
cmeeolio-1,18
cmefdodo-1,7
cmefmlcf-1,2
cmefndbd-1,21
cmegncpi-1,18
cmegndpk-1,21
cmehjcjk-1,18
cmejchdo-1,1
cmejohgb-1,1
cmekadcn-1,19
cmekljem-1,18
cmeknfef-1,18
cmelelkd-1,18
cmenhada-1,19
cmeopjfd-1,18
cmeplppi-1,18
cmfabief-1,0
cmfbfpnm-1,13
cmfcbihm-1,18
cmffabbo-1,18
cmfgmjij-1,0
cmfjdekb-1,0
cmfkjiaf-1,18
cmflmkbj-1,1
cmfmbode-1,19
cmfncogb-1,0
cmfobjpn-1,18
cmfpfooe-1,0
cmfpocff-1,19
cmgajdca-1,1
cmgcalef-1,1
cmgcnhfm-1,1
cmghdgnd-1,1
cmglceeg-1,1
cmgmnecb-1,20
cmgnihhm-1,0
cmgognjg-1,0
cmgpnafo-1,0
cmhchabd-1,19
cmhcoofl-1,18
cmhecfpc-1,2
cmhgaolb-1,11
cmhmejpj-1,20
cmibbalj-1,4
cmidblkp-1,13
cmifcibn-1,19
cmihiokn-1,11
cmilgagd-1,2
cmilinfp-1,19
cmillang-1,11
cmiohoci-1,8
cmipocnp-1,11
cmjaoeff-1,1
cmjbcfng-1,4
cmjcdock-1,14
cmjcicgp-1,18
cmjcpjgb-1,6
cmjdkieo-1,18
cmjdphil-1,3
cmjebfbf-1,11
cmjeeade-1,3
cmjfbiod-1,19
cmjgeioh-1,1
cmjhekcp-1,18
cmjhenem-1,19
cmjiecje-1,4
cmjiekfc-1,1
cmjjhdao-1,21
cmjkgkbl-1,13
cmjmjceg-1,4
cmjnholi-1,4
cmjofoag-1,0
cmjojcji-1,2
cmjpjfha-1,4
cmjpjnej-1,1
cmkalbji-1,18
cmkejgei-1,19
cmkfdfhn-1,2
cmkhkbhk-1,2
cmkhlblb-1,2
cmkknjjh-1,19
cmklljaf-1,19
cmkmjgba-1,19
cmkpkffa-1,4
cmlahngg-1,2
cmlapegf-1,19
cmldffbl-1,21
cmlgfbfe-1,4
cmlhnknb-1,2
cmlhpopb-1,8
cmlihfpm-1,18
cmljicnb-1,13
cmlphhkc-1,18
cmlplclc-1,18
cmmadgoe-1,4
cmmapkpb-1,17
cmmbmfpn-1,16
cmmbpkda-1,19
cmmcmall-1,18
cmmcpblh-1,18
cmmdcggf-1,19
cmmejomb-1,1
cmmgkion-1,1
cmmgmcin-1,19
cmmihajg-1,1
cmmpfdmj-1,1
cmmphlal-1,0
cmmpmigp-1,18
cmnaheid-1,19
cmndacll-1,18
cmndcogn-1,18
cmneeipc-1,2
cmnfbiih-1,2
cmnfhbgm-1,19
cmngdmhi-1,18
cmnhcbfk-1,19
cmnhojgg-1,18
cmnlmgno-1,18
cmnnnmml-1,1
cmnoooip-1,7
cmoahlef-1,20
cmoekcnf-1,7
cmoiabld-1,18
cmoioeba-1,18
cmokajfb-1,3
cmolelge-1,1
cmomfiog-1,10
cmonafpj-1,18
cmoocflm-1,16
cmpanepc-1,3
cmpfdoel-1,2
cmpgbpmc-1,19
cmphadod-1,1
cmphbimk-1,19
cmphmehi-1,1
cmplahcl-1,19
cmplhilc-1,1
cmppnapc-1,3
cmppohoc-1,2
cnaanlmd-1,2
cnadhfnn-1,1
cnaegdpf-1,3
cnahfcfc-1,18
cnahmaca-1,18
cnakckem-1,3
cnalbkam-1,11
cnamelim-1,11
cnanmpnn-1,11
cnbcjiae-1,19
cnbgfbfd-1,2
cnbhdfaf-1,9
cnbimkgj-1,11
cnbiohnh-1,11
cnbjfapc-1,19
cnbjpbno-1,19
cnblahie-1,0
cnbmnijh-1,1
cnbnochc-1,5
cnboilbi-1,1
cncbghgl-1,11
cncbpeaa-1,1
cncdeioi-1,1
cncdjfpm-1,4
cncfella-1,4
cnchbdcf-1,1
cnchhalh-1,2
cnckgncn-1,19
cnckiaok-1,1
cncmjeao-1,11
cncpjpcg-1,17
cncplphm-1,11
cndaapml-1,22
cnddicib-1,19
cndefgjo-1,19
cndehpog-1,0
cndhhnca-1,0
cndhooig-1,2
cndjopep-1,3
cndkhajd-1,17
cndlhgpa-1,19
cndmbaik-1,18
cndnjeen-1,9
cndocdpd-1,17
cndpmelp-1,17
cneacjek-1,19
cnecjgkb-1,19
cnefdhdm-1,19
cnegicel-1,11
cnehdcph-1,11
cnemnkja-1,11
cnfacbjh-1,19
cnfcannn-1,21
cnfddnhl-1,0
cnffbfec-1,2
cnffmcfl-1,18
cnffneli-1,0
cnfgeffe-1,0
cnfgnhgf-1,11
cnfgogih-1,11
cnfhbfei-1,19
cnfiehde-1,1
cnfilljk-1,22
cnfkgpkb-1,19
cnfkhfgm-1,0
cnfkidfb-1,2
cnfmmjaa-1,14
cnfnkenf-1,0
cnfocoih-1,19
cnfpfmmn-1,11
cnfpfpla-1,0
cngaeijc-1,19
cngcgbon-1,0
cngclaif-1,0
cngeepif-1,2
cngfipge-1,18
cngfpgcd-1,0
cnggpknb-1,11
cnghiegp-1,19
cnghpjnj-1,19
cngjcjca-1,19
cngkacpa-1,11
cngkhigf-1,11
cngpjbip-1,20
cnhbogje-1,11
cnhciphf-1,11
cnhebpoj-1,11
cnheeadb-1,20
cnhfgaoa-1,11
cnhhjojh-1,11
cnhnmaae-1,11
cnhojiaa-1,11
cnhplbbi-1,11
cniafcol-1,11
cnibhmnl-1,11
cnibkned-1,20
cnibljhk-1,11
cnidecph-1,1
cnieaeni-1,11
cnieddgm-1,11
cnifhooo-1,11
cnifkdph-1,11
cnifkehb-1,3
cnigdkdn-1,2
cnikeaoh-1,9
cnilcink-1,0
cninipok-1,11
cninjmhe-1,0
cnjabpif-1,11
cnjacnfn-1,2
cnjcajll-1,11
cnjdlaep-1,11
cnjgbbac-1,4
cnjgmima-1,11
cnjieflo-1,1
cnjifhnb-1,2
cnjjfekk-1,2
cnjliocp-1,20
cnjlipam-1,11
cnjmfoof-1,2
cnjnilfm-1,2
cnkbpakn-1,11
cnkccjjh-1,2
cnkcikfe-1,2
cnkdejhi-1,11
cnkdikgb-1,20
cnkdngdi-1,11
cnkedbij-1,11
cnkejkoj-1,20
cnkfhjlo-1,20
cnkhlkng-1,11
cnkidbii-1,7
cnkindpm-1,12
cnkjfmjc-1,11
cnkjgllp-1,2
cnkkgjep-1,11
cnknfnjf-1,11
cnkpdhfj-1,2
cnkpppog-1,11
cnledhbf-1,20
cnlejldj-1,20
cnlkdbid-1,11
cnlmlfmo-1,20
cnlmmiig-1,11
cnlmonag-1,11
cnlnmgge-1,11
cnmafikc-1,11
cnmajmhn-1,20
cnmakfdo-1,11
cnmbcefo-1,12
cnmbddgp-1,11
cnmdjccc-1,11
cnmfhfmf-1,7
cnmghbdj-1,3
cnmhiiif-1,7
cnmifghk-1,3
cnmldbkj-1,7
cnmmokko-1,3
cnncajbh-1,4
cnncckol-1,1
cnnclejb-1,4
cnndegmi-1,16
cnndmaah-1,1
cnnfcghl-1,7
cnnfnemi-1,3
cnngamdo-1,4
cnngkikm-1,3
cnngpoba-1,11
cnnhdfgf-1,3
cnnlobbh-1,3
cnoakidp-1,21
cnochenp-1,0
cnoeenfa-1,11
cnohmjhn-1,1
cnokfpid-1,11
cnokjemk-1,3
cnokmkio-1,13
cnomnnoa-1,1
cnonbnbe-1,1
cnoomfii-1,1
cnopnclh-1,1
cnpadkdi-1,3
cnpajdih-1,11
cnpbifbm-1,13
cnpclndp-1,10
cnpcpfco-1,14
cnpepalf-1,7
cnpfdcoc-1,4
cnpgmdal-1,7
cnpheagh-1,4
cnphikjg-1,16
cnpnjklp-1,16
cnpoblgl-1,7
cnpogpgb-1,4
cnppkcdo-1,7
cnppmgon-1,7
cnppnjoi-1,3
coaanjmm-1,3
coabgoho-1,3
coafcnnc-1,3
coagnhea-1,3
coakbokk-1,1
coakfhki-1,5
coakklak-1,18
coaknaeg-1,3
cobbilbe-1,7
cobbjpig-1,7
cobbodch-1,8
cobbpjaj-1,7
cobcpmdn-1,7
cobkackk-1,4
cobkamjm-1,7
cobonbcf-1,7
cobonfkd-1,13
cobpglad-1,11
cobpkfid-1,8
cobpljoa-1,7
cocahlke-1,7
cocbbodc-1,1
cocbjamd-1,3
cocckafg-1,3
cocdjdka-1,3
cocdjfbd-1,3
cocdjklo-1,3
cocdlloh-1,3
coceoljc-1,1
cockbjbe-1,3
cocnlmpe-1,3
cocoacmi-1,8
cocplgln-1,1
codbmmch-1,7
codcdhee-1,3
coddaneo-1,11
codddlmg-1,20
coddfbpe-1,7
codfhiof-1,11
codgmhpb-1,4
codicgcg-1,1
codihjdf-1,7
codjkeoa-1,1
codkbldc-1,4
codknega-1,3
codlejfb-1,3
codmmemi-1,11
codmmpfl-1,18
codocgmg-1,11
coeaeipf-1,11
coeffbaa-1,11
coeiclim-1,6
coejejne-1,20
coekaoga-1,1
coekdglb-1,4
coemmhoe-1,7
coeoalem-1,3
coepbifb-1,14
coepdfgm-1,7
cofebgii-1,1
cofeolfa-1,7
cofgipoj-1,1
cofhmnhc-1,3
cofhnfpo-1,20
cofjghii-1,7
cofmigkm-1,1
cofnoeoa-1,1
cogaalok-1,20
cogaemjk-1,2
cogajelc-1,2
cogbllbb-1,3
cogcdibc-1,7
cogeaode-1,7
cogeeabl-1,22
cogflhhc-1,7
coggaljn-1,7
coggedgo-1,7
coggjhkj-1,7
cogmglld-1,7
cogmlkgn-1,7
cogojfop-1,1
cogoldjo-1,1
cohaeagg-1,1
cohbccce-1,18
cohbcckb-1,1
cohbofeh-1,1
cohchigd-1,1
cohdkggi-1,3
cohkpflm-1,1
cohlagdd-1,1
cohpehon-1,1
cohppgop-1,0
coiaingh-1,17
coibekea-1,16
coibnjgh-1,1
coidjmba-1,1
coiepnim-1,11
coigflpm-1,2
coigocnm-1,1
coihlomb-1,2
coiiemdi-1,19
coiijajh-1,4
coijdlfj-1,2
coijoobo-1,7
coikbemg-1,2
coilbhif-1,2
coilhegk-1,19
coimbpdc-1,1
coimpghe-1,19
coinmkfo-1,11
cojbfbec-1,19
cojboapb-1,0
cojdbele-1,18
cojdlghn-1,21
cojefmah-1,8
cojepbke-1,0
cojfeidh-1,0
cojipffo-1,4
cojjbfoc-1,0
cojjelig-1,2
cojkhmjg-1,0
cojkinap-1,2
cojkjlhc-1,12
cojlcgij-1,1
cojlliac-1,1
cojoeppm-1,1
cokaiclg-1,1
cokbaial-1,1
cokcofid-1,19
cokkacee-1,19
cokkdhnh-1,1
cokleaam-1,1
cokleanc-1,19
coklghim-1,18
cokmcood-1,18
coknlmhf-1,11
cokobafl-1,18
cokofefj-1,18
cokpcifo-1,11
cokplpdk-1,18
cokpojll-1,13
colboafc-1,13
colcoeip-1,18
colddlci-1,1
coldhgln-1,2
coldmhfd-1,21
coleeghh-1,20
colfjpgg-1,2
colhfdho-1,11
colklhgc-1,4
colpdmfd-1,18
colpfhfm-1,13
comadomc-1,11
comajkfe-1,2
combaopo-1,19
comcdogh-1,11
comckcdl-1,13
comdkldh-1,12
comgifac-1,2
comgjlij-1,1
commmglg-1,19
comnajci-1,20
complclj-1,14
conbcogc-1,4
coneamdi-1,0
coneekcg-1,13
conejgaa-1,2
confhkbj-1,1
congjcec-1,18
congljcb-1,19
conjlebj-1,2
conkailh-1,11
conmciln-1,2
connmhln-1,11
conpbfmh-1,19
cooddbpj-1,13
coodjbbj-1,14
cooemkih-1,19
cooephld-1,11
coofbkbf-1,1
coofpdkh-1,1
coogkjfl-1,19
cookaodo-1,4
coollnoh-1,0
coolokcl-1,21
coondjbn-1,0
cooophee-1,18
copajbna-1,20
copbenfp-1,21
copflijp-1,11
copgcndh-1,4
copkagpj-1,3
copklijp-1,4
copliabb-1,2
copoffem-1,4
copogkka-1,11
cpaapnmm-1,18
cpahcbpk-1,3
