0,1
0,Adipocytes
1,B.cell
2,Endothelial
3,Erythrocyte
4,FCGR3B.neutrophil
5,GNLY.high.T.cell
6,HSPC
7,LTF.high.neutrophil
8,MMP9.high.neutrophil
9,Mast.cell
10,Megakaryotcyte.Epcam+
11,Mesenchymal2
12,Mesenchymal9
13,Monocyte
14,Myeloid.prog1
15,Myeloid.prog14
16,Myeloid.prog20
17,Myeloid.prog7
18,T.cell
19,cDC/Macrophage
20,infl.mesenchymal
21,infl.monocyte
22,pDC
